station_code,station_latitude,station_longitude,NS,EW,PGA
MYZ007,32.2351,131.1155,10.438,10.957,10.69435206
MYZ008,32.1056,131.3931,101.301,96.233,98.73448806
MYZ009,32.0461,130.8115,29.156,29.102,29.12898749
MYZ010,31.9968,130.9722,13.146,23.552,17.59586861
MYZ011,31.9951,131.2559,51.448,51.841,51.64412617
MYZ012,31.8723,131.0684,53.534,97.934,72.40717337
MYZ013,31.9086,131.4188,144.437,128.712,136.3479928
MYZ014,31.8457,131.307,58.266,61.26,59.74424792
MYZ015,31.7182,131.0624,36.143,40.984,38.48746175
MYZ016,31.6131,131.3745,51.32,63.717,57.18353294
MYZ017,31.4639,131.2281,84.696,55.307,68.44181231
MYZ018,31.3987,131.3054,39.187,39.254,39.22048569
MYZ019,32.5008,131.4444,13.783,14.564,14.16811956
MYZ020,32.4557,131.1472,29.349,29.645,29.49662871
NGS001,33.3617,129.5377,1.976,2.209,2.089254412
NGS002,33.3442,129.7056,6.239,4.235,5.140249508
NGS003,33.2016,129.4124,1.386,1.453,1.419104647
NGS005,33.037,129.9173,1.91,2.605,2.230594091
NGS008,32.9233,130.1846,1.868,1.496,1.671684181
NGS009,32.8457,130.0216,2.55,1.958,2.234479805
NGS010,32.7351,129.8765,1.651,1.508,1.577880857
NGS011,32.7843,130.2023,6.443,4.711,5.509353229
NGS012,32.7883,130.3463,6.249,5.766,6.002643917
NGS013,32.581,129.7597,1.292,1.182,1.235776679
NGS014,32.6104,130.1851,14.233,15.474,14.84053375
NGS019,32.9003,129.9583,4.286,3.421,3.829152125
OIT002,33.5691,131.2675,5.897,5.834,5.865415416
OIT003,33.5575,131.446,5.829,6.379,6.097802145
OIT004,33.5659,131.7316,10.124,7.641,8.795310341
OIT005,33.4524,131.1142,1.906,1.852,1.878806004
OIT006,33.4211,131.3173,2.87,2.883,2.876492656
OIT007,33.4169,131.6142,7.006,6.892,6.948766221
OIT008,33.2548,131.0197,4.586,4.217,4.397631408
OIT009,33.2568,131.3443,31.372,30.87,31.11998779
OIT010,33.2317,131.5934,28.532,29.777,29.14785351
OIT011,33.2468,131.8816,13.359,15.077,14.19202745
OIT012,33.0666,131.3729,10.773,17.996,13.92375337
OIT013,33.0727,131.5934,6.176,7.709,6.900056811
OIT014,33.0656,131.8588,17.719,12.539,14.90565467
OIT015,32.9733,131.3998,20.219,17.588,18.85767144
OIT016,32.9748,131.903,31.96,31.898,31.92898495
OIT017,32.8579,131.6576,7.105,6.121,6.594672471
OIT018,32.798,131.9255,10.889,14.367,12.50768816
OKY012,34.5897,133.754,1.968,2.162,2.062720534
OKY013,34.5094,133.509,1.195,1.378,1.283241988
OSK003,34.7668,135.4684,1.297,1.375,1.335430642
OSK008,34.4404,135.3918,1.422,0.72,1.011849791
SAG001,33.5274,129.8772,1.124,1.589,1.336426579
SAG002,33.4228,129.9192,1.311,1.588,1.442867977
SAG004,33.2649,129.8813,1.5,1.416,1.457394936
SAG006,33.1917,130.0317,2.975,1.709,2.254833697
SAG007,33.2626,130.3005,7.725,9.028,8.351125673
SAG008,33.1041,130.0998,2.662,2.471,2.564722597
SMN002,35.4713,133.0681,2.619,2.664,2.641404172
SMN005,35.3608,132.7449,5.244,6.711,5.932325345
SMN006,35.1908,132.4981,2.306,1.608,1.925629248
SMN008,34.8521,132.5308,1.389,2.067,1.69442114
SMN012,34.3551,131.9354,1.377,1.958,1.642000609
SMN013,34.6696,131.8461,1.44,1.727,1.576984464
SMN014,34.4668,131.7747,1.289,1.567,1.421218843
TKS001,34.2034,134.6096,1.979,1.201,1.541680577
TKS002,34.0439,134.582,2.236,2.301,2.26826718
TKS003,33.8716,134.604,1.493,1.887,1.678478776
TKS004,33.775,134.5907,1.962,1.441,1.681440454
TKS006,33.6689,134.4191,1.5,1.667,1.581296936
TKS007,34.0903,134.2854,1.69,1.597,1.64284205
TKS008,33.9341,134.2113,2.102,2.271,2.184866586
TKS012,34.0317,133.8064,1.333,1.808,1.552438083
TTR002,35.4859,134.2201,2.172,2.599,2.375926767
TTR004,35.4606,134.0548,1.435,1.659,1.542940375
TTR008,35.4259,133.3301,4.241,4.246,4.243499264
WKY006,33.9146,135.1639,1.689,1.639,1.663812189
YMG001,34.6172,131.6022,2.808,3.725,3.234161406
YMG002,34.4077,131.3986,3.407,3.91,3.649845202
YMG003,34.383,131.5999,1.244,1.482,1.357795272
YMG006,34.1487,130.9299,1.831,1.34,1.566377988
YMG008,34.0119,131.4099,1.516,1.755,1.631128444
YMG009,34.2315,131.8175,1.609,1.295,1.443487097
YMG010,34.2303,131.9819,1.339,1.428,1.382784148
YMG011,34.0643,131.0213,2.482,3.87,3.099248296
YMG012,33.9943,131.2179,6.087,5.2,5.626046569
YMG013,34.0313,131.5342,6.782,6.448,6.612891652
YMG014,34.0542,131.8077,4.009,4.84,4.404947219
YMG015,34.0966,132.0761,3.799,5.639,4.628451253
YMG016,34.1703,132.1764,4.953,5.377,5.160647343
YMG017,33.9649,132.1011,9.774,9.116,9.439268192
YMG018,33.9091,132.3559,12.232,7.829,9.785924995
YMG019,33.8454,132.1204,1.841,2.044,1.939846386
